segment,date,supply,demand,occupancy_rate,average_daily_rate,revenue_per_available_room,sample_properties,sample_rooms,census_properties,census_rooms
3 Star Hotels+,2014-02,26068,18515,71.0,294.76,209.35,10,805,11,931
3 Star Hotels+,2014-04,27930,19166,68.6,262.4,180.07,9,709,11,931
3 Star Hotels+,2014-06,27930,19172,68.6,265.28,182.09,10,805,11,931
3 Star Hotels+,2014-07,28861,16285,56.4,254.26,143.46,10,805,11,931
3 Star Hotels+,2015-09,37320,23555,63.1,303.18,191.36,13,1118,14,1244
3 Star Hotels+,2016-04,37320,20670,55.4,262.03,145.13,13,1118,14,1244
3 Star Hotels+,2017-02,37940,22809,60.1,248.89,149.63,14,1229,15,1355
3 Star Hotels+,2017-04,40650,27076,66.6,263.12,175.26,14,1229,15,1355
3 Star Hotels+,2017-05,42005,24301,57.9,216.98,125.53,14,1229,15,1355
3 Star Hotels+,2017-11,48810,27989,57.3,183.44,105.19,16,1501,17,1627
3 Star Hotels+,2018-03,50220,35141,70.0,175.07,122.51,16,1494,17,1620
3 Star Hotels+,2018-07,50220,34524,68.7,167.98,115.48,16,1494,17,1620
3 Star Hotels+,2018-11,47880,36140,75.5,173.22,130.75,16,1470,17,1596
3 Star Hotels+,2019-04,51180,42668,83.4,174.35,145.35,17,1580,18,1706
3 Star Hotels+,2019-11,53550,43465,81.2,171.34,139.07,17,1659,18,1785
3 Star Hotels+,2019-12,55335,47573,86.0,190.35,163.65,17,1659,18,1785
3 Star Hotels+,2023-11,70020,61786,88.2,184.95,163.2,21,2256,23,2334
3 Star Hotels+,2023-12,72354,65664,90.8,185.65,168.48,21,2256,23,2334
3 Star Hotels+,2024-07,78089,59109,75.7,153.53,116.22,22,2441,24,2519
3 Star Hotels+,2025-01,78430,70530,89.9,241.96,217.59,21,2381,24,2530
4 Star Hotels+,2014-01,143902,110644,76.9,411.37,316.3,22,4415,23,4642
4 Star Hotels+,2014-06,139260,103413,74.3,373.65,277.47,22,4415,23,4642
4 Star Hotels+,2014-09,139230,105771,76.0,377.92,287.1,22,4414,23,4641
4 Star Hotels+,2016-04,154020,90242,58.6,356.19,208.69,25,4905,26,5134
4 Star Hotels+,2017-08,156953,72277,46.1,267.26,123.07,25,5063,25,5063
4 Star Hotels+,2018-01,175615,102571,58.4,244.9,143.04,29,5665,29,5665
4 Star Hotels+,2018-04,169950,103345,60.8,233.96,142.27,29,5665,29,5665
4 Star Hotels+,2018-10,175305,114919,65.6,227.26,148.98,29,5655,29,5655
4 Star Hotels+,2018-11,169650,113386,66.8,226.98,151.7,29,5655,29,5655
4 Star Hotels+,2019-02,158088,109544,69.3,230.51,159.73,29,5646,29,5646
4 Star Hotels+,2020-03,180823,99075,54.8,210.02,115.07,30,5833,30,5833
4 Star Hotels+,2021-12,186992,142800,76.4,267.08,203.96,32,6032,32,6032
4 Star Hotels+,2023-08,227819,114869,50.4,211.34,106.56,37,7043,39,7349
4 Star Hotels+,2024-10,241366,162923,67.5,210.44,142.05,40,7507,43,7786
5 Star Hotels+,2014-01,225680,160179,71.0,769.08,545.86,24,7058,25,7280
5 Star Hotels+,2014-11,218460,176597,80.8,779.84,630.4,23,6689,25,7282
5 Star Hotels+,2015-05,254262,174248,68.5,789.55,541.08,28,7980,29,8202
5 Star Hotels+,2015-12,276489,168023,60.8,720.23,437.69,31,8697,32,8919
5 Star Hotels+,2016-03,301041,216996,72.1,763.14,550.09,34,9489,35,9711
5 Star Hotels+,2016-05,301165,179494,59.6,703.16,419.08,34,9493,35,9715
5 Star Hotels+,2018-01,334893,188322,56.2,553.8,311.42,39,10581,40,10803
5 Star Hotels+,2018-08,357430,177121,49.6,602.11,298.37,41,11113,43,11530
5 Star Hotels+,2018-09,353100,182279,51.6,515.92,266.33,43,11353,45,11770
5 Star Hotels+,2018-11,353460,218994,62.0,506.82,314.01,43,11365,45,11782
5 Star Hotels+,2019-01,368559,223741,60.7,506.55,307.51,44,11667,45,11889
5 Star Hotels+,2019-02,332892,225476,67.7,519.63,351.96,44,11667,45,11889
5 Star Hotels+,2019-12,395250,286035,72.4,569.76,412.32,48,12528,49,12750
5 Star Hotels+,2020-02,360864,243559,67.5,516.39,348.53,49,12666,50,12888
5 Star Hotels+,2020-04,373050,166975,44.8,445.92,199.59,45,11906,48,12435
5 Star Hotels+,2020-08,414036,217725,52.6,619.81,325.93,51,13134,52,13356
5 Star Hotels+,2021-11,419970,294725,70.2,556.8,390.75,54,13777,55,13999
5 Star Hotels+,2022-04,425340,163655,38.5,505.12,194.35,55,13956,56,14178
5 Star Hotels+,2022-06,432510,259562,60.0,631.57,379.03,56,14195,57,14417
5 Star Hotels+,2022-11,535770,281974,52.6,2595.12,1365.81,70,17604,72,17859
5 Star Hotels+,2023-10,580630,358138,61.7,594.48,366.68,75,18660,76,18730
5 Star Hotels+,2024-06,573420,304560,53.1,594.75,315.89,78,19044,79,19114
5 Star Hotels+,2024-07,592534,300954,50.8,545.63,277.13,78,19044,79,19114
5 Star Hotels+,2024-09,579660,331311,57.2,530.21,303.05,77,19082,79,19322
Deluxe Apartments+,2015-04,117120,99233,84.7,361.29,306.11,7,3904,7,3904
Deluxe Apartments+,2016-11,122160,100049,81.9,322.23,263.9,8,4072,8,4072
Deluxe Apartments+,2017-08,148304,92890,62.6,342.41,214.47,11,4784,11,4784
Deluxe Apartments+,2018-04,143670,101261,70.5,329.15,231.99,11,4789,11,4789
Deluxe Apartments+,2018-05,148459,100180,67.5,315.29,212.76,11,4789,11,4789
Deluxe Apartments+,2019-02,136108,104306,76.6,314.92,241.34,12,4861,12,4861
Deluxe Apartments+,2020-03,161665,104384,64.6,307.51,198.55,13,5215,13,5215
Deluxe Apartments+,2021-06,190170,115569,60.8,339.95,206.59,17,6339,17,6339
Deluxe Apartments+,2021-11,190200,113482,59.7,392.7,234.3,17,6340,17,6340
Deluxe Apartments+,2023-01,261702,110950,42.4,388.52,164.71,28,8413,29,8442
Deluxe Apartments+,2023-07,267282,151550,56.7,330.15,187.2,28,8220,30,8622
Deluxe Apartments+,2023-09,258660,159919,61.8,315.51,195.07,29,8510,30,8622
Deluxe Apartments+,2024-07,267282,183300,68.6,333.5,228.71,28,8468,30,8622
Deluxe Apartments+,2024-08,267282,186813,69.9,336.11,234.92,28,8468,30,8622
Qatar+,2014-09,502530,387240,77.1,490.55,378.01,64,15920,71,16751
Qatar+,2015-07,572787,323087,56.4,505.65,285.22,79,18129,81,18477
Qatar+,2015-09,566010,389790,68.9,536.51,369.48,81,18519,83,18867
Qatar+,2015-10,592131,433387,73.2,532.2,389.52,81,18519,85,19101
Qatar+,2016-08,630416,354766,56.3,452.77,254.8,84,19818,87,20336
Qatar+,2016-09,612300,364753,59.6,487.79,290.58,86,20062,88,20410
Qatar+,2016-11,618540,431695,69.8,479.03,334.33,88,20223,91,20618
Qatar+,2019-04,785880,578452,73.6,397.89,292.87,114,25392,119,26196
Qatar+,2019-08,816850,466625,57.1,378.8,216.39,115,25809,118,26350
Qatar+,2019-10,814649,598215,73.4,392.03,287.88,118,25931,120,26279
Qatar+,2020-07,855848,421573,49.3,391.99,193.09,119,26749,126,27608
Qatar+,2023-05,1176636,652245,55.4,403.09,223.44,179,37470,184,37956
Qatar+,2023-09,1152750,661516,57.4,359.88,206.52,181,37861,187,38425
Qatar+,2024-03,1219974,684283,56.1,398.67,223.61,187,38815,194,39354
Qatar+,2024-05,1225089,799439,65.3,404.65,264.06,188,38980,195,39519
Qatar+,2024-12,1254291,983506,78.4,488.53,383.06,188,39668,199,40461
Standard Apartments+,2019-01,26908,19024,70.7,264.19,186.78,5,868,5,868
Standard Apartments+,2020-02,27636,21312,77.1,267.74,206.47,6,987,6,987
Standard Apartments+,2021-01,31527,20056,63.6,222.03,141.24,7,1017,7,1017
Standard Apartments+,2021-07,32612,23780,72.9,230.44,168.03,8,1052,8,1052
Standard Apartments+,2022-02,26992,15670,58.1,275.31,159.83,7,964,7,964
Standard Apartments+,2023-02,29456,14103,47.9,225.58,108.0,8,1052,8,1052
Standard Apartments+,2023-04,31560,16543,52.4,216.69,113.58,8,1052,8,1052
Standard Apartments+,2024-03,32612,17605,54.0,254.02,137.13,8,1052,8,1052
1 & 2 Star Hotels+,2015-02,12628,11215,88.8,285.36,253.44,5,371,7,451
1 & 2 Star Hotels+,2016-07,13206,5544,42.0,266.47,111.87,7,426,7,426
1 & 2 Star Hotels+,2017-05,14911,9221,61.8,233.35,144.3,8,481,8,481
1 & 2 Star Hotels+,2021-03,13671,10588,77.4,155.8,120.66,8,441,8,441
1 & 2 Star Hotels+,2022-02,11872,11741,98.9,193.89,191.75,7,424,7,424
1 & 2 Star Hotels+,2022-05,16616,14819,89.2,181.72,162.06,9,536,9,536
1 & 2 Star Hotels+,2022-06,16080,14501,90.2,180.32,162.62,9,536,9,536
1 & 2 Star Hotels+,2023-05,18166,16065,88.4,156.63,138.52,10,586,10,586
1 & 2 Star Hotels+,2024-10,18166,16999,93.6,150.36,140.7,9,536,10,586
3 Star Hotels+,2015-10,38564,23206,60.2,277.67,167.09,13,1118,14,1244
3 Star Hotels+,2018-01,50220,31587,62.9,180.14,113.3,16,1494,17,1620
3 Star Hotels+,2020-09,54240,36118,66.6,158.48,105.53,16,1589,18,1808
3 Star Hotels+,2021-06,52170,44584,85.5,190.96,163.19,15,1520,17,1739
3 Star Hotels+,2021-07,53909,46590,86.4,201.67,174.29,14,1463,17,1739
3 Star Hotels+,2021-08,53909,43284,80.3,215.08,172.69,14,1463,17,1739
3 Star Hotels+,2024-09,75570,60415,79.9,166.24,132.9,20,2314,24,2519
4 Star Hotels+,2016-01,152210,107750,70.8,387.48,274.3,25,4910,25,4910
4 Star Hotels+,2020-08,180792,106864,59.1,204.29,120.75,30,5832,30,5832
4 Star Hotels+,2021-08,186992,139372,74.5,236.48,176.26,32,6032,32,6032
4 Star Hotels+,2023-05,226424,119480,52.8,215.95,113.95,37,7088,38,7304
4 Star Hotels+,2024-07,235228,144449,61.4,202.33,124.25,39,7309,42,7588
5 Star Hotels+,2014-04,207270,151364,73.0,756.29,552.3,23,6687,24,6909
5 Star Hotels+,2014-07,214179,101405,47.3,679.1,321.53,23,6687,24,6909
5 Star Hotels+,2016-06,289140,115814,40.1,617.6,247.38,33,9416,34,9638
5 Star Hotels+,2018-06,345900,163708,47.3,603.97,285.85,41,11113,43,11530
5 Star Hotels+,2021-10,427583,297762,69.6,530.05,369.12,53,13571,54,13793
5 Star Hotels+,2024-10,600470,391961,65.3,591.54,386.13,79,19300,80,19370
Deluxe Apartments+,2014-10,121086,108850,89.9,342.36,307.77,6,3826,7,3906
Deluxe Apartments+,2015-07,121024,89722,74.1,366.34,271.59,7,3904,7,3904
Deluxe Apartments+,2017-12,148304,98767,66.6,323.53,215.47,11,4784,11,4784
Deluxe Apartments+,2019-05,150691,105699,70.1,298.91,209.67,12,4861,12,4861
Deluxe Apartments+,2019-12,150691,113625,75.4,326.51,246.2,12,4861,12,4861
Deluxe Apartments+,2020-02,146020,100592,68.9,317.89,218.99,13,5215,13,5215
Deluxe Apartments+,2021-07,196509,116062,59.1,361.33,213.41,17,6339,17,6339
Deluxe Apartments+,2024-02,241416,210735,87.3,472.07,412.07,29,8510,30,8622
Qatar+,2014-07,519312,311185,59.9,447.16,267.95,65,16017,71,16752
Qatar+,2014-11,516180,436226,84.5,527.57,445.85,64,15922,73,17206
Qatar+,2015-04,548070,398256,72.7,560.7,407.44,76,17874,79,18269
Qatar+,2016-04,615450,390556,63.5,523.46,332.18,86,19891,90,20515
Qatar+,2016-05,636089,391631,61.6,501.68,308.88,87,20124,90,20519
Qatar+,2016-12,665415,417492,62.7,452.19,283.71,91,21070,94,21465
Qatar+,2018-07,767095,444581,58.0,390.44,226.29,107,24202,110,24745
Qatar+,2021-04,867030,558300,64.4,352.5,226.98,131,28460,134,28901
Qatar+,2021-12,911214,631535,69.3,455.71,315.84,132,29046,134,29394
Qatar+,2023-03,1176233,685008,58.2,447.74,260.75,179,37520,183,37943
Standard Apartments+,2014-10,5146,4119,80.0,274.49,219.71,3,166,3,166
Standard Apartments+,2017-06,25710,12316,47.9,299.24,143.35,5,857,5,857
Standard Apartments+,2018-06,25710,17274,67.2,275.05,184.8,5,857,5,857
Standard Apartments+,2024-08,32612,16862,51.7,216.42,111.9,7,961,8,1052
Standard Apartments+,2024-12,32612,25360,77.8,259.28,201.62,7,961,8,1052
4 Star Hotels+,2016-09,148650,82139,55.3,341.9,188.92,25,4955,25,4955
4 Star Hotels+,2017-01,153605,102985,67.0,331.1,221.99,25,4955,25,4955
4 Star Hotels+,2017-02,139020,92455,66.5,326.19,216.93,25,4965,25,4965
4 Star Hotels+,2021-01,182621,125983,69.0,211.74,146.07,31,5891,31,5891
4 Star Hotels+,2021-11,180960,140156,77.5,254.36,197.01,32,6032,32,6032
4 Star Hotels+,2022-11,220860,126317,57.2,1002.62,573.43,36,6614,39,7362
4 Star Hotels+,2024-03,235228,129127,54.9,226.53,124.35,39,7309,42,7588
4 Star Hotels+,2024-12,254169,197608,77.7,264.12,205.35,42,7920,45,8199
5 Star Hotels+,2014-08,214179,128562,60.0,731.07,438.83,23,6687,24,6909
5 Star Hotels+,2015-04,246060,165003,67.1,832.65,558.36,28,7980,29,8202
5 Star Hotels+,2015-06,246060,133003,54.1,715.01,386.49,28,7980,29,8202
5 Star Hotels+,2016-07,298778,151897,50.8,708.37,360.13,33,9416,34,9638
5 Star Hotels+,2018-12,365242,223292,61.1,534.01,326.47,43,11365,45,11782
5 Star Hotels+,2019-04,379980,265058,69.8,573.37,399.96,46,12251,48,12666
5 Star Hotels+,2023-11,558660,376396,67.4,553.79,373.12,76,18552,77,18622
5 Star Hotels+,2024-02,525252,441303,84.0,695.87,584.65,77,18689,78,18759
Deluxe Apartments+,2020-07,165137,81788,49.5,331.25,164.06,14,5327,14,5327
Deluxe Apartments+,2025-03,267406,193030,72.2,332.16,239.78,29,8472,31,8626
Qatar+,2015-08,579483,353325,61.0,496.23,302.56,80,18345,82,18693
Qatar+,2015-11,575610,401355,69.7,519.06,361.93,82,18792,85,19187
Qatar+,2021-07,910904,562662,61.8,417.23,257.72,133,28943,136,29384
Qatar+,2024-04,1186170,740474,62.4,462.31,288.6,188,39000,195,39539
Standard Apartments+,2016-05,5146,3193,62.0,237.69,147.48,3,166,3,166
Standard Apartments+,2017-04,25710,12942,50.3,326.16,164.18,5,857,5,857
Standard Apartments+,2018-10,26567,19368,72.9,268.2,195.52,5,857,5,857
Standard Apartments+,2019-11,29610,21315,72.0,271.45,195.4,6,987,6,987
Standard Apartments+,2020-06,30450,18136,59.6,243.91,145.27,6,987,7,1015
Standard Apartments+,2021-04,31560,25059,79.4,226.34,179.71,8,1052,8,1052
Standard Apartments+,2023-05,32612,17994,55.2,209.92,115.83,8,1052,8,1052
1 & 2 Star Hotels+,2014-07,13981,10097,72.2,254.17,183.56,5,371,7,451
1 & 2 Star Hotels+,2019-03,16647,14541,87.3,171.4,149.71,9,537,9,537
1 & 2 Star Hotels+,2021-07,13764,11461,83.3,166.27,138.45,8,444,8,444
1 & 2 Star Hotels+,2022-11,16080,13366,83.1,384.37,319.49,9,536,9,536
3 Star Hotels+,2016-01,38564,27361,71.0,300.79,213.41,13,1118,14,1244
3 Star Hotels+,2016-05,38564,21499,55.7,251.71,140.32,13,1118,14,1244
3 Star Hotels+,2018-12,49476,39276,79.4,174.71,138.69,16,1470,17,1596
3 Star Hotels+,2019-02,47768,38601,80.8,176.05,142.27,17,1580,18,1706
3 Star Hotels+,2019-07,52886,39925,75.5,167.11,126.16,17,1580,18,1706
3 Star Hotels+,2020-05,58590,34901,59.6,169.85,101.18,17,1671,19,1890
3 Star Hotels+,2020-11,51960,36862,70.9,178.7,126.77,15,1513,17,1732
3 Star Hotels+,2022-04,47670,35202,73.8,186.09,137.42,14,1463,15,1589
3 Star Hotels+,2023-01,67518,46257,68.5,188.84,129.38,20,2163,21,2178
3 Star Hotels+,2024-02,65352,60887,93.2,278.19,259.18,21,2256,23,2334
3 Star Hotels+,2024-08,78089,60313,77.2,153.7,118.71,21,2385,24,2519
4 Star Hotels+,2014-04,139260,95952,68.9,384.16,264.69,22,4415,23,4642
4 Star Hotels+,2017-10,166470,86143,51.7,262.76,135.97,26,5370,26,5370
4 Star Hotels+,2020-09,174960,119331,68.2,214.16,146.07,30,5832,30,5832
4 Star Hotels+,2022-04,176010,93768,53.3,221.55,118.03,31,5867,31,5867
5 Star Hotels+,2016-10,306342,186902,61.0,677.41,413.3,35,9660,36,9882
5 Star Hotels+,2018-07,357430,185251,51.8,583.66,302.5,41,11113,43,11530
5 Star Hotels+,2020-12,414036,256153,61.9,477.17,295.21,51,13134,52,13356
5 Star Hotels+,2023-07,572818,263407,46.0,578.91,266.21,75,18478,75,18478
Deluxe Apartments+,2014-05,120807,105342,87.2,321.12,280.01,6,3817,7,3897
Deluxe Apartments+,2015-01,121024,114306,94.4,366.95,346.58,7,3904,7,3904
Deluxe Apartments+,2016-01,123690,103355,83.6,350.98,293.28,7,3990,7,3990
Deluxe Apartments+,2016-02,111720,89478,80.1,355.76,284.93,7,3990,7,3990
Deluxe Apartments+,2017-04,131640,98470,74.8,370.16,276.89,10,4388,10,4388
Deluxe Apartments+,2020-01,161665,109770,67.9,305.85,207.67,13,5215,13,5215
Deluxe Apartments+,2022-07,200136,94489,47.2,401.13,189.38,17,6456,17,6456
Qatar+,2018-10,778410,525081,67.5,371.74,250.76,110,24520,114,25110
Qatar+,2020-08,856003,464984,54.3,423.9,230.27,120,26977,126,27613
Qatar+,2022-04,895110,406068,45.4,362.33,164.37,136,29489,138,29837
Standard Apartments+,2016-11,7710,4025,52.2,278.12,145.19,4,257,4,257
Standard Apartments+,2022-01,29884,17856,59.8,275.84,164.82,7,964,7,964
Standard Apartments+,2022-12,32612,16397,50.3,1358.57,683.08,8,1052,8,1052
Standard Apartments+,2023-12,32612,23285,71.4,233.17,166.48,8,1052,8,1052
Standard Apartments+,2024-09,31560,18291,58.0,217.94,126.31,7,961,8,1052
1 & 2 Star Hotels+,2014-11,13530,12134,89.7,278.13,249.44,5,371,7,451
1 & 2 Star Hotels+,2014-12,13981,12587,90.0,286.11,257.57,5,371,7,451
1 & 2 Star Hotels+,2015-09,14280,9302,65.1,290.67,189.34,8,476,8,476
1 & 2 Star Hotels+,2016-05,14756,8301,56.3,261.8,147.28,8,476,8,476
1 & 2 Star Hotels+,2016-08,13206,6138,46.5,262.85,122.17,7,426,7,426
1 & 2 Star Hotels+,2017-01,14911,10608,71.1,253.56,180.38,8,481,8,481
1 & 2 Star Hotels+,2019-07,16678,13381,80.2,164.8,132.22,9,538,9,538
1 & 2 Star Hotels+,2020-03,16585,9864,59.5,167.01,99.33,9,535,9,535
1 & 2 Star Hotels+,2021-08,13764,12646,91.9,175.73,161.46,8,444,8,444
1 & 2 Star Hotels+,2022-01,13144,12888,98.1,197.39,193.55,7,424,7,424
1 & 2 Star Hotels+,2022-04,16080,11742,73.0,173.23,126.49,9,536,9,536
1 & 2 Star Hotels+,2022-08,16616,14539,87.5,174.84,152.98,9,536,9,536
1 & 2 Star Hotels+,2024-04,17580,14579,82.9,161.74,134.13,10,586,10,586
1 & 2 Star Hotels+,2025-03,19561,16596,84.8,147.37,125.03,9,536,11,631
3 Star Hotels+,2014-08,28861,18275,63.3,268.67,170.13,10,805,11,931
3 Star Hotels+,2015-08,38564,20824,54.0,278.86,150.58,13,1118,14,1244
3 Star Hotels+,2015-12,38564,23843,61.8,279.65,172.9,13,1118,14,1244
3 Star Hotels+,2016-06,35070,15112,43.1,230.49,99.32,12,1043,13,1169
3 Star Hotels+,2017-08,50282,22583,44.9,184.45,82.84,16,1496,17,1622
3 Star Hotels+,2020-10,53692,38523,71.7,173.43,124.43,15,1513,17,1732
3 Star Hotels+,2021-03,56234,49762,88.5,180.77,159.96,16,1595,18,1814
3 Star Hotels+,2021-12,49259,44745,90.8,254.29,230.99,14,1463,15,1589
3 Star Hotels+,2022-09,48240,36666,76.0,186.2,141.52,15,1593,16,1608
3 Star Hotels+,2023-08,71610,55880,78.0,162.1,126.49,21,2232,23,2310
4 Star Hotels+,2014-08,143902,101312,70.4,370.69,260.98,22,4415,23,4642
4 Star Hotels+,2014-11,139230,117541,84.4,395.09,333.55,22,4414,23,4641
4 Star Hotels+,2017-03,153915,103215,67.1,319.43,214.21,25,4965,25,4965
4 Star Hotels+,2017-06,151890,58198,38.3,287.34,110.1,25,5063,25,5063
4 Star Hotels+,2017-11,164100,96337,58.7,255.5,150.0,27,5470,27,5470
4 Star Hotels+,2017-12,169570,93623,55.2,252.74,139.54,27,5470,27,5470
4 Star Hotels+,2018-12,175305,115468,65.9,226.55,149.22,29,5655,29,5655
4 Star Hotels+,2019-05,174964,97290,55.6,220.86,122.81,28,5428,29,5644
4 Star Hotels+,2019-06,171780,101284,59.0,222.28,131.06,28,5510,29,5726
4 Star Hotels+,2019-07,177320,110260,62.2,222.84,138.56,28,5504,29,5720
4 Star Hotels+,2019-11,171180,122483,71.6,226.29,161.92,29,5706,29,5706
4 Star Hotels+,2020-01,180513,122872,68.1,224.47,152.79,30,5823,30,5823
4 Star Hotels+,2020-04,170520,77116,45.2,212.87,96.27,28,5573,29,5684
4 Star Hotels+,2020-12,180792,133550,73.9,209.22,154.55,30,5832,30,5832
4 Star Hotels+,2021-05,186992,117017,62.6,232.72,145.63,32,6032,32,6032
4 Star Hotels+,2021-07,186992,127090,68.0,229.22,155.79,32,6032,32,6032
4 Star Hotels+,2023-10,230547,147868,64.1,215.94,138.5,38,7131,40,7437
5 Star Hotels+,2014-09,207270,145327,70.1,729.02,511.15,23,6687,24,6909
5 Star Hotels+,2015-01,243908,188004,77.1,838.91,646.63,27,7646,28,7868
5 Star Hotels+,2016-08,304048,159086,52.3,628.14,328.66,33,9416,35,9808
5 Star Hotels+,2016-11,296100,200706,67.8,663.65,449.84,35,9648,36,9870
5 Star Hotels+,2019-05,403713,173574,43.0,480.6,206.63,47,12608,49,13023
5 Star Hotels+,2019-09,372360,235995,63.4,508.57,322.32,46,12190,47,12412
5 Star Hotels+,2019-10,389453,271625,69.7,562.09,392.03,47,12341,48,12563
5 Star Hotels+,2020-09,400680,220315,55.0,490.91,269.93,51,13134,52,13356
5 Star Hotels+,2021-06,413640,268319,64.9,542.21,351.72,53,13566,54,13788
5 Star Hotels+,2021-09,413790,302335,73.1,485.93,355.04,53,13571,54,13793
5 Star Hotels+,2022-01,439518,217635,49.5,497.88,246.54,55,13956,56,14178
5 Star Hotels+,2022-03,439518,301745,68.7,635.59,436.36,55,13956,56,14178
5 Star Hotels+,2022-10,488932,266348,54.5,603.09,328.54,60,15550,61,15772
5 Star Hotels+,2023-03,564262,323026,57.2,618.71,354.2,74,18202,74,18202
5 Star Hotels+,2023-12,577282,386139,66.9,605.29,404.88,76,18552,77,18622
5 Star Hotels+,2024-01,581529,475904,81.8,649.45,531.49,76,18539,78,18759
5 Star Hotels+,2024-03,592224,292475,49.4,559.06,276.1,78,19034,79,19104
5 Star Hotels+,2025-03,612560,263680,43.0,515.09,221.73,80,19690,81,19760
Deluxe Apartments+,2016-07,123690,79886,64.6,335.45,216.65,7,3990,7,3990
Deluxe Apartments+,2016-08,123690,86245,69.7,318.96,222.4,7,3990,7,3990
Deluxe Apartments+,2016-12,126232,101159,80.1,313.57,251.28,8,4072,8,4072
Deluxe Apartments+,2018-01,148366,99233,66.9,326.62,218.46,11,4786,11,4786
Deluxe Apartments+,2018-06,143670,91940,64.0,322.75,206.54,11,4789,11,4789
Deluxe Apartments+,2018-07,148459,98208,66.2,311.76,206.24,11,4789,11,4789
Deluxe Apartments+,2018-11,146670,108993,74.3,305.05,226.69,12,4889,12,4889
Deluxe Apartments+,2019-11,145830,107356,73.6,303.05,223.09,12,4861,12,4861
Deluxe Apartments+,2020-08,165137,81411,49.3,349.85,172.47,14,5327,14,5327
Deluxe Apartments+,2021-02,167944,90786,54.1,338.67,183.08,16,5998,16,5998
Deluxe Apartments+,2021-03,185938,116699,62.8,386.08,242.31,16,5998,16,5998
Deluxe Apartments+,2021-05,196509,108180,55.1,341.2,187.83,17,6339,17,6339
Deluxe Apartments+,2022-05,200136,95488,47.7,421.52,201.11,17,6456,17,6456
Deluxe Apartments+,2022-08,200136,99872,49.9,373.91,186.59,17,6456,17,6456
Deluxe Apartments+,2023-03,261702,151132,57.7,382.4,220.83,27,8250,29,8442
Deluxe Apartments+,2023-04,253260,132534,52.3,370.92,194.11,27,8250,29,8442
Qatar+,2014-05,519033,395317,76.2,506.95,386.11,65,16008,71,16743
Qatar+,2015-01,554528,465944,84.0,571.13,479.9,74,17468,77,17888
Qatar+,2017-03,683302,464632,68.0,462.58,314.55,94,21647,97,22042
Qatar+,2017-06,688230,297378,43.2,434.78,187.86,98,22546,101,22941
Qatar+,2018-11,753300,504892,67.0,361.42,242.24,110,24520,114,25110
Qatar+,2018-12,783742,516199,65.9,373.32,245.88,111,24692,115,25282
Qatar+,2020-04,796740,391647,49.2,335.02,164.68,114,25652,121,26558
Qatar+,2020-11,834540,509279,61.0,328.96,200.75,124,27377,127,27818
Qatar+,2021-05,910873,537423,59.0,364.16,214.86,133,28942,136,29383
Qatar+,2022-02,820596,476949,58.1,388.26,225.67,131,28959,133,29307
Qatar+,2022-09,922830,516821,56.0,419.54,234.96,138,30524,140,30761
Qatar+,2023-01,1161911,538416,46.3,423.61,196.29,176,37221,179,37481
Qatar+,2023-08,1188664,634412,53.4,368.45,196.65,180,37778,186,38344
Qatar+,2024-01,1209279,1015494,84.0,497.83,418.05,186,38439,193,39009
Standard Apartments+,2014-12,5146,3927,76.3,262.22,200.11,3,166,3,166
Standard Apartments+,2015-03,5146,4374,85.0,289.99,246.49,3,166,3,166
Standard Apartments+,2015-09,4980,3114,62.5,251.43,157.22,3,166,3,166
Standard Apartments+,2016-02,4648,3050,65.6,249.25,163.56,3,166,3,166
Standard Apartments+,2016-03,5146,3501,68.0,262.01,178.25,3,166,3,166
Standard Apartments+,2016-10,7967,3220,40.4,233.6,94.41,4,257,4,257
Standard Apartments+,2017-01,26567,6442,24.2,340.13,82.47,5,857,5,857
Standard Apartments+,2017-03,26567,10778,40.6,304.05,123.35,5,857,5,857
Standard Apartments+,2017-07,26567,12928,48.7,298.58,145.3,5,857,5,857
Standard Apartments+,2017-10,26567,17084,64.3,281.2,180.83,5,857,5,857
Standard Apartments+,2018-04,25710,18998,73.9,273.33,201.97,5,857,5,857
Standard Apartments+,2019-03,30597,21824,71.3,274.27,195.63,6,987,6,987
Standard Apartments+,2019-09,29610,22362,75.5,277.73,209.74,6,987,6,987
Standard Apartments+,2021-06,31560,24586,77.9,227.64,177.34,8,1052,8,1052
Standard Apartments+,2021-08,32612,25150,77.1,233.49,180.06,8,1052,8,1052
Standard Apartments+,2021-09,31560,25744,81.6,236.57,192.97,8,1052,8,1052
Standard Apartments+,2021-10,32612,27970,85.8,236.5,202.83,8,1052,8,1052
Standard Apartments+,2021-11,31560,24879,78.8,257.62,203.08,8,1052,8,1052
Standard Apartments+,2022-05,32612,17781,54.5,262.78,143.28,8,1052,8,1052
Standard Apartments+,2022-06,31560,18377,58.2,255.06,148.52,8,1052,8,1052
Standard Apartments+,2023-06,31560,17591,55.7,210.94,117.57,8,1052,8,1052
Standard Apartments+,2024-07,32612,16993,52.1,220.45,114.87,7,961,8,1052
1 & 2 Star Hotels+,2021-04,13320,9487,71.2,152.77,108.81,8,444,8,444
1 & 2 Star Hotels+,2021-05,13764,8825,64.1,160.2,102.72,8,444,8,444
1 & 2 Star Hotels+,2023-07,18166,15482,85.2,150.03,127.87,10,586,10,586
3 Star Hotels+,2014-01,28861,21211,73.5,299.25,219.93,9,760,11,931
